FOOD,REFUSE (%),WATER (g),ENERGY (Kcal),PROTEIN (g),FAT (g),ASH (g),FIBER (g),CARBOHYDRATE (g),SODIUM (mg),POTASSIUM (mg),CALCIUM (mg),PHOSPHORUS (mg),MAGNESIUM (mg),IRON (mg),ZINC (mg),COPPER (mg),VITAMIN A (ugre),VITAMIN C (mg),THIAMIN (mg),REBOFLAVIN (mg)
Milk Full Fat,1.37,70.2,309.97,15.26,16.69,1.74,6.55,22.89,295.97,186.85,44.47,157.9,23.18,3.51,1.18,0.14,746.06,40.4,0.18,0.44
Kebab,5.56,70.71,305.47,29.33,19.55,1.39,2.35,1.22,15.76,168.52,131.65,263.54,99.38,2.3,3.62,0.41,519.1,6.51,0.3,0.03
Raw White Rice,4.96,63.34,618.05,12.19,1.03,1.17,0.52,135.63,511.48,523.49,11.14,224.07,43.12,5.32,1.72,0.42,602.57,13.94,0.02,0.03
Rice Pudding,1.49,71.18,543.51,13.59,13.59,0.67,7.28,99.64,457.99,278.75,183.52,149.77,49.68,4.01,4.82,0.09,179.31,43.56,0.32,0.37
Lamb,1.99,47.69,835.68,71.06,59.69,1.42,0.53,0,509.68,309.03,108.53,274.97,27.46,2.03,3.71,0.15,527.22,52.56,0.49,0.28
Atayef,10.1,62.44,688.4,12.91,25.82,1.2,7.57,86.05,595.43,254.96,30.77,243.79,105.32,1.57,4.3,0.45,659.29,23.54,0.5,0.32
Tea with Sugar,6.3,55.27,80.09,0,0,1.2,6.04,20.02,415.05,339.48,18.48,183.46,100.08,5.84,4.94,0.09,28.91,2.68,0.27,0.39
Chicken Thigh Stewed,3.09,42.87,939.02,116.26,49.19,1,1.96,0,253.72,509.03,136.42,94.13,22.27,0.26,3.47,0.35,434.75,11.15,0.24,0.23
Domiati Cheese,13.09,49.67,850.96,44.12,69.34,1.48,4.92,9.46,30.42,374.6,189.57,172.4,101.58,2.19,4.18,0.21,409.2,26.83,0.29,0.41
Chicken Liver,4.55,64.5,725.81,105.57,21.99,0.97,7.88,4.4,394.91,256.83,51.05,184.78,33.58,4.3,3.29,0.25,308.48,59.87,0.47,0.24
Roasted Chicken,12.23,53,870.97,103.69,45.62,2.06,1.7,0,107.79,127.7,143.7,242.86,97.35,2.73,1.74,0.49,302.49,15.34,0.03,0.02
Kofta,5.37,51.01,1225.1,94.24,84.81,0.93,2.19,23.56,87.91,484.59,31,239.56,60.87,3.69,0.6,0.36,573.53,3.21,0.23,0.06
Mango,12.3,40.12,274.67,3.66,1.83,2.19,3.18,68.67,452.74,255.54,94.6,147.9,78.5,0.71,4.62,0.32,653.3,3.66,0.21,0.38
Yogurt,5.71,72,251.59,14.68,12.58,2.45,4.29,20.97,470.55,522.73,129.78,129.96,16.92,3.12,1.89,0.43,412.02,9.78,0.34,0.16
Tea with Sugar,5.67,62.19,92.86,0,0,1.03,5.5,23.21,47.81,411.18,26.15,108.81,36.49,3.53,0.63,0.21,580.91,46.14,0.23,0.49
Black Eyed Peas,14.42,54.57,85.09,4.58,0.98,1.52,5.17,14.4,342.86,427.83,10.77,135.85,11.24,2.75,3.3,0.35,601.93,50.93,0.29,0.1
Kofta,5.12,67.12,408.62,31.43,28.29,0.5,3.02,7.86,155.9,459.75,146.18,251.86,112.55,5.13,2.01,0.5,70.57,10.51,0.46,0.43
Apple,14.15,52.27,51.35,0.3,0.2,1.43,4.63,13.82,479.7,386.11,123.04,223.08,107.32,0.6,2.58,0.28,444.63,13.41,0.29,0.01
Qatayef Asafiri,13.08,65.73,1011.26,16.85,40.45,0.93,4.65,134.83,520.42,179.88,16.7,100.37,102.58,0.88,3.68,0.45,44.05,46.46,0.06,0.25
Rice Pudding,1.18,72.2,458.44,11.46,11.46,1.28,4.23,84.05,370.31,558.27,17.03,145.4,11.53,3.84,1.37,0.04,584.32,5.05,0.4,0.15
Yogurt,11.54,73.56,52.97,3.09,2.65,1.35,3.62,4.41,599.04,199.82,180.4,148.5,84.48,3.83,0.51,0.16,240.62,12.35,0.15,0.12
Chicken Thigh Stewed,12.47,59.58,434.42,53.79,22.76,1.15,0.72,0,492.42,460.35,138.63,66.04,26.2,0.78,4.88,0.04,575.43,2.44,0.1,0.24
Chickpeas Cooked,0.47,60.4,371.45,20.38,5.89,1.82,6.34,61.15,86.41,363.89,138.15,84.48,65.76,3.98,4.99,0.37,706.7,33.84,0.14,0.04
Black Coffee,13.43,52.82,9.44,0,0,2.14,4.68,0,58.71,523.06,41.81,204.77,33.24,0.62,2.07,0.15,476.53,40.05,0.17,0.36
Freekeh Cooked,8.59,52.15,225.83,9.03,3.39,1.18,1.1,45.17,343.14,404.57,83.24,211.82,87.13,1.99,3.98,0.04,32.71,7.93,0.17,0.33
Olive Oil,3.54,60.59,846.05,0,95.71,2.17,7.23,0,78.11,148.15,25.78,272.91,96.77,5.1,1.23,0.46,696.96,22.49,0.32,0.3
Grilled Chicken Breast,11.56,61.87,529.84,99.55,11.56,2.08,2.65,0,188.77,570.4,94.92,118.38,69.99,2.64,1.96,0.14,123.57,13.52,0.05,0.22
Moussaka Egyptian,7.34,42.04,222.63,10.28,10.28,2.31,0.23,20.55,434.44,505.26,28.96,140,26.08,4.09,0.27,0.29,634.6,24.53,0.02,0.47
Olive Oil,8.17,49.84,4193.25,0,474.35,2.3,3.51,0,66.3,153.84,132.44,274.21,107.66,1.57,0.62,0.45,105.69,50.35,0.36,0.34
Tamarind Drink,1.43,69.2,243.33,2.92,0.97,1.8,2.26,63.27,263.93,557.37,14.95,67.17,78.5,0.32,1.35,0.22,359.44,3.99,0.48,0.11
Imam Bayildi,7.68,53.36,868.6,15.33,45.98,1.51,2.66,102.19,451.26,461.69,21.98,151.79,119,5.76,2.22,0.05,486.35,52.95,0.19,0.44
Molokhia with Chicken,12.38,54.32,375.07,17.77,13.82,1.32,4.34,47.38,48.15,434.65,118.27,152.57,19.07,5.79,3.77,0.47,566.86,17.88,0.23,0.15
Mango,12.25,74.13,147.28,1.96,0.98,2.32,3.48,36.82,507.73,106.94,126.12,294.44,81.27,5.02,2.88,0.02,10.17,58.64,0.48,0.09
Hawawshi,2.68,78.61,434.37,18.22,16.81,1.03,2.31,47.64,388.79,310.47,49.85,234.41,32.29,0.23,0.77,0.28,207.32,51.36,0.46,0.23
Grilled Fish,6.52,44.42,376.94,61.93,13.46,2.4,1.54,0,507.12,402.15,166.42,267.44,109.74,0.96,2.32,0.28,513.93,49.77,0.02,0.44
Shorbet Adas,4.6,50.64,266.02,13.3,6.65,1.21,6.34,39.9,477.63,535.18,119.98,116.14,73.34,0.49,1.43,0.24,564.63,30.29,0.15,0.04
Banana,13.05,65.61,215.19,2.66,0.73,2.17,6.87,55.61,205.36,235.57,175.17,190.11,79.42,1.47,3.97,0.5,764.12,36.09,0.28,0.19
Karkade,5.23,54.41,106.94,0.36,0,1.76,4.45,24.95,282.88,469.1,120.53,229.07,63.13,3.6,1.39,0.36,95.95,13.55,0.46,0.42
Imam Bayildi,1.98,69.81,531.82,9.39,28.16,1.08,5,62.57,64.47,564.82,62.05,259.6,66.6,0.45,4.6,0.02,662.79,53.64,0.18,0.4
Taameya Fried,0.97,46.25,257.12,10.45,14.46,0.5,4.44,20.89,187.53,127.02,89.38,171.49,108.16,2.4,4.12,0.08,535.16,54.41,0.12,0.4
Fried Fish,0.2,46.33,503.26,45.75,32.03,2.46,7.03,0,353.23,393.24,84.4,99.9,56.39,3.04,0.98,0.34,548.45,22.4,0.3,0.34
White Cheese,11.32,43.05,1124.09,41.22,93.67,0.75,5.94,11.24,459.75,505.47,98.53,91.05,84.89,4.05,2.95,0.17,73.76,40.88,0.37,0.18
Atayef,3.43,66.96,1400.77,26.26,52.53,1.99,1.82,175.1,86.69,557.79,61.5,240.69,12.94,2.42,3.17,0.3,250.75,18.22,0.13,0.27
Taameya Fried,4.03,76.15,736.99,29.94,41.46,1.7,2.89,59.88,470.19,527.81,29.24,114.12,14.77,4.73,0.52,0.24,444.98,41.09,0.07,0.25
Tamarind Drink,2.53,47.05,176.58,2.12,0.71,1.35,1.9,45.91,496.76,574.82,52.14,131.44,28.23,5.18,4.53,0.12,139.65,27.02,0.1,0.11
Konafa,2.45,72.63,1183.04,27.04,50.7,2.37,1.37,152.11,594.28,585.39,70.86,60.5,67.59,4.64,2.45,0.12,672.84,13.71,0.03,0.28
Tamarind Drink,2.75,50.94,204.45,2.45,0.82,2.32,5.61,53.16,536.03,223.22,73.29,80.75,74.22,4.23,3.86,0.2,732.35,11.41,0.46,0.46
Bamia,12.91,65.36,407.98,19.2,14.4,0.56,5.77,48,494.02,400.13,40.6,124.63,23.99,3.21,2.54,0.19,604.67,10.59,0.05,0.2
Apple,14.77,60.73,216.42,1.25,0.83,0.78,2.61,58.27,393.44,298.53,81.55,82.77,94.77,5.7,2.16,0.32,545.21,53.15,0.46,0.19
Freekeh Cooked,12.77,68.46,445.03,17.8,6.68,1.53,6.06,89.01,162.83,254.46,150.76,64.07,115.12,0.98,0.75,0.48,332.22,21.4,0.08,0.46
Mahshi Pepper,4.86,52.53,469.77,12.81,12.81,2.45,2.49,85.41,51,228.25,70.1,287.73,43.24,4.14,1.8,0.17,31.25,46.04,0.18,0.17
Kaak,6.67,46.23,1547.15,22.1,81.04,2.46,1.19,110.51,385.21,314.07,27.87,268.65,12.15,2.97,2.91,0.41,786.45,43.66,0.25,0.33
Basbousa,10.2,68,1023.98,13.84,33.21,1.55,0.02,152.21,552.45,118.31,49.99,60.82,32.3,4.83,2.97,0.03,631.71,57.49,0.49,0.18
Chicken Thigh Stewed,0.75,62.84,1121.83,138.89,58.76,1.01,6.26,0,261.32,106.35,112.61,259.55,33.04,4.84,3.8,0.42,520.81,50.37,0.12,0.09
Mango,10.4,65.76,192.63,2.57,1.28,1.01,0.1,48.16,357.75,525.87,24.91,74.05,111.38,4.14,0.9,0.43,296.86,9.45,0.47,0.44
Chicken Thigh Stewed,13.91,69.57,370.22,45.84,19.39,1.81,7.24,0,144.92,508.68,172.2,161.71,55.54,5.2,0.38,0.1,590.3,22.14,0.33,0.44
Shorbet Adas,6.94,60.08,243.97,12.2,6.1,1.55,4.02,36.6,366.73,241.59,103.65,216.72,40.56,3.3,4.75,0.13,742.84,3.19,0.2,0.15
Black Coffee,11.35,77.67,1.49,0,0,1.47,6.39,0,305.65,552.96,149.96,260.69,113.95,2.19,4.6,0.32,568.96,32.79,0.24,0.39
Om Ali,8.16,77.99,348.03,9.49,12.66,1.1,1.85,47.46,316.73,435.57,121.39,59.43,30.64,2.14,4.06,0.01,758.5,6.74,0.39,0.3
Tamarind Drink,5.95,59.49,183.96,2.21,0.74,2.46,2.3,47.83,206.31,418.5,131.56,205.29,36.18,2.84,2.26,0.03,550.86,6.23,0.2,0.18
Qatayef Asafiri,0.14,58.06,1189.96,19.83,47.6,2.29,1.96,158.66,351.25,413.55,83.24,56.83,94.78,5.66,1.05,0.25,447.13,15.4,0.1,0.31
Kashkaval Cheese,3.72,63.15,873.9,62.42,69.91,1.58,6.83,4.99,576.92,414.49,121.07,198.05,20.18,2.5,0.84,0.4,620.45,18.12,0.08,0.12
Chickpeas Cooked,14.53,42.27,449.14,24.65,7.12,0.7,6.47,73.94,113.13,579.02,135.61,99.33,50.97,1.16,4.05,0.08,99.75,57.36,0.37,0.28
Boiled Egg,5.62,70,519.71,43.59,36.88,1.1,6.69,3.69,264.14,357.98,17.72,198.39,98.1,0.45,1.03,0.18,794.32,38,0.43,0.41
Om Ali,8.86,52.95,1035.48,28.24,37.65,1.4,7.63,141.2,374.82,293.9,138.21,282.49,69.27,5.42,0.29,0.18,638.34,2.5,0.31,0.41
Mahshi Mixed,7.9,46.9,220.63,9.46,7.88,0.79,0.87,28.37,16.79,468.62,35.87,156.93,90.02,0.31,1.37,0.23,93.25,31.36,0.3,0.42
Beef Lean,6.19,55.16,149.9,15.59,10.19,0.8,5.77,0,481.17,290.58,44.86,174.41,61.99,3.71,3.31,0.26,676.47,53.1,0.21,0.16
Lamb,3.32,58.7,1118.29,95.09,79.88,1.04,7.55,0,431.51,168.68,35.48,201.29,48.8,0.52,1.24,0.11,422.25,17.65,0.46,0.18
Grilled Chicken Breast,13.56,67.71,605.82,113.82,13.22,1.35,2.29,0,220.36,472.18,159.56,135.35,76.78,3.66,1.94,0.13,769,7.67,0.37,0.06
Raw White Rice,12.09,47.71,1129.85,22.28,1.88,0.51,1.17,247.94,400.24,454.71,119.59,137.9,51.86,4.75,2.75,0.07,276.1,48.79,0.31,0.47
Milk Full Fat,2.95,42.9,149.39,7.35,8.04,0.6,5.08,11.03,445.41,184.49,145.43,131.13,103.72,0.72,0.68,0.17,768.77,21.19,0.37,0.36
Boiled Egg,9.86,62.58,456.82,38.31,32.42,0.88,5.19,3.24,464.35,158.78,73.44,271.46,89.24,2.71,3.03,0.38,324.8,46.5,0.09,0.37
Baladi Bread,13.6,54.24,689.1,22.97,3.87,0.94,2.61,136.79,487.12,151.72,149.27,169.55,53,4.81,4.77,0.26,592.98,26.85,0.34,0.28
Beef Liver,9.4,69.06,338.99,55.47,8.22,1.68,1.4,8.22,463.82,484.91,38.85,68.73,57.95,5.6,3.04,0.37,84.98,20.98,0.37,0.28
Green Lentils Cooked,5.43,70.17,179.88,13.96,0.62,0.85,2.57,31.01,397.39,221.84,97.37,96.07,51.5,0.56,1.73,0.48,58.52,1.3,0.21,0.35
Baladi Bread,2.07,72.91,767.07,25.57,4.31,1.07,4.77,152.26,597.9,270.41,169.37,54.51,11.94,2.77,0.81,0.42,502.91,45.53,0.19,0.25
Mahshi Vine Leaves,9.79,53.17,163.2,2.72,5.44,2.33,7.44,24.48,146.5,160.57,66.72,275.25,83.46,0.58,3.9,0.45,269.74,49.33,0.06,0.17
Taameya Fried,4.07,51.62,344.17,13.98,19.36,0.89,6.38,27.96,581.42,561.53,64.13,71.31,20.56,4.51,0.85,0.15,12.37,11.89,0.06,0.02
Green Lentils Cooked,11.07,64.53,349.89,27.15,1.21,1.74,7.62,60.33,522.42,266.15,142.94,227.77,114.57,1.98,0.73,0.26,134.67,58.98,0.11,0.43
Boiled Egg,0.15,40.63,529.61,44.42,37.59,1.56,7.12,3.76,271.36,403.76,182.32,79.76,87.95,0.53,1.85,0.04,785.46,5.7,0.35,0.27
Basbousa,6.07,77.97,387.66,5.24,12.57,1.67,6.18,57.63,221.09,481.11,52.69,154.41,55.09,5.65,3.97,0.24,501.71,50.49,0.5,0.04
White Cheese,4.18,48.75,1185.79,43.48,98.82,2.06,6.54,11.86,118.27,388.27,155.64,57.79,79.31,3.17,4.63,0.18,16.71,34.74,0.41,0.04
Shorbet Adas,1.06,51.26,187.01,9.35,4.68,1.79,0.83,28.05,218.89,340.91,122.28,203.85,87.07,0.4,1.23,0.13,375.84,36.68,0.3,0.13
Olive Oil,1.54,78.98,1980.24,0,224.01,1.23,6.31,0,532.97,521.38,184.05,53.75,116.88,0.44,0.4,0.36,220.54,11.13,0.09,0.19
Ful Medames with Oil,0.3,68.99,915.77,41.21,45.79,0.74,0.65,91.58,219.83,203.72,124.83,148.83,53.81,2.16,2.99,0.05,24.57,0.73,0.06,0.49
Domiati Cheese,7.68,79.68,324.49,16.83,26.44,0.71,3.31,3.61,414.42,222.18,82.41,149.56,11.29,4.25,3.61,0.26,428.11,44.81,0.1,0.19
Orange,14.18,44.72,253.95,4.86,0.54,1.82,6.22,64.84,246.48,496.13,83.39,67.36,96.18,1.47,3.56,0.14,311.84,33.09,0.11,0.26
Grilled Fish,11.6,77.2,556.77,91.47,19.88,2.13,6.63,0,275.58,313.69,163.03,217.66,47.32,0.72,0.28,0.06,276.05,11.32,0.26,0.14
Domiati Cheese,7.73,40.89,671.79,34.83,54.74,1.81,3.43,7.46,279.98,255.04,80.49,231.45,94.27,3.82,4.69,0.31,164.38,16.81,0.42,0.11
Ful Medames with Oil,8.03,40.87,313.23,14.1,15.66,2.19,3.12,31.32,191.12,243.21,199.2,276.67,100.39,0.97,3.03,0.37,634.65,6.79,0.1,0.41
Boiled Egg,8.58,73.26,311.62,26.14,22.11,1.06,6.83,2.21,270.94,412.37,43.79,100.81,117.18,3.22,4.9,0.45,463.33,30.48,0.49,0.02
Green Lentils Cooked,9.71,48.91,71.9,5.58,0.25,1.34,7.69,12.4,396.41,349.09,155.1,231.7,14.73,4.79,1.61,0.05,371.68,32.13,0.44,0.1
Hawawshi,3,64.92,414.18,17.37,16.03,0.61,0.52,45.43,23.07,278.08,34.04,76.99,41.25,5.65,2.21,0.49,133.65,26.73,0.44,0.15
Lamb,9.77,62.73,1045.64,88.91,74.69,1.16,4.43,0,461.95,485.54,54.21,166.14,57.77,1.64,3.76,0.14,774.93,43.7,0.48,0.24
Pasta Cooked,10.41,69.41,465.45,17.09,2.65,0.73,1.63,91.03,568.19,589.91,54.6,86.73,103.61,5.75,0.36,0.12,482.3,50.16,0.28,0.14
White Bread,13.07,46,355.86,12.09,4.3,0.56,0.46,65.8,213.66,243.59,77.27,269.28,92.38,2.56,2.72,0.12,273.81,13.29,0.09,0.48
Chicken Thigh Stewed,7.34,45.97,478.82,59.28,25.08,1.89,7.36,0,152.01,303.26,131.45,85.34,110.62,2.43,2.52,0.11,171.98,25.51,0.39,0.36
Zucchini Stew,12.04,43.84,306.32,6.81,10.21,1.61,7.1,40.84,43.92,336.76,137.49,55.28,49.2,0.35,4.73,0.46,405.43,22.75,0.39,0.34
Dates,1.22,69.31,451.58,4,0.64,0.55,6.65,120.1,176.04,540,88.59,240.36,10.13,1.74,1.43,0.35,475.82,41.05,0.32,0.24
Chickpeas Cooked,5.87,51.69,168.7,9.26,2.67,1.47,5.28,27.77,144.07,197.99,155.94,104.28,41.24,0.53,0.27,0.05,338.68,28.56,0.39,0.15
Banana,13.18,64.72,286.75,3.54,0.97,0.5,7.77,74.1,410.02,403.19,25.69,284.28,14.81,1.46,1.6,0.35,383.87,56.53,0.08,0.35
Olive Oil,12.69,65.26,3251.7,0,367.84,1.88,3.96,0,522.2,292.7,66.52,232.59,72,4.51,1.78,0.16,112.29,39.73,0.46,0.12
Taameya Fried,12.63,44.71,1298.9,52.77,73.06,2.25,4.27,105.54,499.86,100.67,78.32,124.98,64.29,4.27,0.85,0.22,718.48,22.84,0.18,0.03
Boiled Egg,7.93,53.77,172.95,14.51,12.27,1.65,0.79,1.23,83.7,493.62,151.57,76.37,57.73,4.28,3.34,0.31,357.51,57.39,0.01,0.26
Imam Bayildi,13.24,55.88,749.34,13.22,39.67,0.78,5.65,88.16,593.32,171.28,62.69,293.71,73.63,2.85,4.97,0.23,692.03,5.4,0.31,0.16
Molokhia with Chicken,11.53,52.05,390.64,18.5,14.39,1.2,5.14,49.34,408.9,351.47,183.91,176.7,90.78,4.25,1.06,0.27,234.41,52.14,0.3,0.29
Molokhia,11.78,50.93,176.35,11.22,6.41,2.03,0.55,19.24,396.59,109.34,96.06,174.86,12.24,6,0.91,0.45,636.88,48.5,0.16,0.43
Ful Medames,5.06,50.68,490.75,32.72,14.54,2.03,2.13,72.7,508.19,581.91,14.33,239.17,115.12,2.1,1.06,0.24,348.52,17.71,0.2,0.41
Koshari,6.09,41.39,602.98,17.45,12.69,1.23,6.1,101.56,249.51,262.87,183.04,298.12,10.49,5.13,4.23,0.21,152.34,59.71,0.11,0.11
Shorbat Freekeh,11.09,51.26,491.89,25.89,15.53,2.29,1.51,77.67,530.57,282.26,77.23,62.66,26.82,3.74,2.09,0.31,617.16,31.49,0.18,0.08
Baladi Bread,5.27,56.71,1173.17,39.11,6.59,1.74,5.87,232.88,488.38,242.25,138.25,210.18,11.26,1.05,2.81,0.34,596.65,17.5,0.3,0.5
Chicken Liver,12.06,59.89,603.29,87.75,18.28,0.89,0.86,3.66,452.26,282.4,187.88,78.4,18.21,0.57,1.04,0.16,759.65,36.39,0.04,0.42
Chickpeas Cooked,5.36,51.08,711.62,39.05,11.28,0.6,2.8,117.16,269.61,310.57,193.82,217.74,50.6,1.53,0.53,0.3,12.94,22.29,0.36,0.45
Olive Oil,5.19,56.17,940.47,0,106.39,1.3,2.28,0,85.6,474.3,157.33,216.7,18.08,4.1,2.13,0.25,127.08,42.92,0.35,0.49
Kebab,5.36,40.75,682.73,65.54,43.69,1.43,4.84,2.73,237.47,592.21,15.97,283.78,71.63,2.24,2.53,0.45,483.56,4.51,0.11,0.43
Tamarind Drink,10.23,45.22,174.88,2.1,0.7,1.29,2.33,45.47,88.61,379.71,76.35,74.92,56.99,1.07,0.38,0.36,255.55,9.23,0.29,0.14
Apple,5.06,64.99,100.37,0.58,0.39,0.61,1.26,27.02,590.53,326.11,104.99,161.41,106.19,0.34,1.11,0.29,306.26,27.54,0.27,0.45
Beef Lean,14.78,61.94,930.99,96.82,63.31,0.99,2.97,0,321.58,488.46,172.67,218.62,15.07,3.55,3.59,0.23,688.37,30.1,0.13,0.05
Qatayef Asafiri,14.68,61.81,429.09,7.15,17.16,0.89,3.58,57.21,145.39,585.57,96.62,207,53.43,2.17,3.55,0.04,473.29,18.17,0.27,0.16
Dates,13.28,41.45,322.56,2.86,0.46,1.16,4.36,85.79,278.01,305.2,164.16,262.43,12.28,2.08,2.31,0.42,560,25.27,0.45,0.46
Atayef,2.54,68.19,648.5,12.16,24.32,2.31,6.49,81.06,89.61,445,73.2,224.77,14.1,2.58,1.18,0.34,97.82,53.83,0.49,0.03
Mango,14.11,42.54,186.4,2.49,1.24,1.08,0.73,46.6,579.43,348.46,94.25,116.33,35.84,3.08,3.87,0.37,360.82,16.8,0.38,0.28
Fried Fish,7.74,42.92,606.91,55.17,38.62,1.17,4.2,0,471.2,211.15,101.86,163.32,21.67,5.2,0.86,0.03,116.98,17.29,0.07,0.29
Butter,14.31,54.11,2108.23,2.65,238.17,0.77,1.53,0.29,38.76,218.26,48.03,98.37,74.92,4.94,3.72,0.26,540.37,33.83,0.29,0.31
Qatayef Asafiri,8.56,79.51,982.59,16.38,39.3,1.65,6.46,131.01,71.72,393.79,145.43,225.35,118.86,1.14,2.67,0.38,592.4,26.93,0.34,0.47
Lamb,9.27,53.42,752.95,64.03,53.78,1.1,7.67,0,515.85,107.71,192.26,251.85,73.45,1.01,4.66,0.33,268.34,4.99,0.15,0.29
Molokhia with Chicken,2.61,42.61,269.84,12.78,9.94,2.08,7.12,34.09,267.83,443.28,73.52,147.99,12.54,3.25,4.72,0.34,177.53,44.01,0.01,0.14
Freekeh Cooked,2.82,41.95,155.1,6.2,2.33,1.54,7.5,31.02,338.58,516.11,83.06,118.39,117.1,2.3,2.13,0.21,584.41,4.63,0.18,0.24
Yogurt,8.57,54.78,57.06,3.33,2.85,2.08,4.35,4.76,431.01,257.04,166.89,105.35,19.39,5.4,2.85,0.41,682.41,12.52,0.02,0.5
Mahshi Pepper,7.1,78.89,459.65,12.54,12.54,1.27,7.89,83.57,299.41,441.54,38.77,180.86,91.89,2.54,3.14,0.5,608.18,49.76,0.21,0.01
Kofta,3.5,59.5,460.01,35.39,31.85,0.55,4.43,8.85,431.25,216.4,61.27,140.62,70.05,5.03,1.44,0.46,679.29,26.13,0.02,0.18
Kofta,2.36,62.38,383.53,29.5,26.55,1.21,6,7.38,165.77,233.26,74.53,133.33,25.02,0.84,2.37,0.46,58.26,49.24,0.26,0.27
Mahshi Vine Leaves,1.36,55.34,293.8,4.9,9.79,1.97,5.27,44.07,400.53,272.07,88.83,103.81,23.09,3.91,3,0.05,299.68,25.78,0.43,0.48
Kebab,10.97,65.75,907.03,87.07,58.05,1.46,1.48,3.63,290.6,355.46,63.91,199.75,86.83,4.39,1.21,0.02,796.62,31.95,0.46,0.06
Omelette,4.01,51.56,310.96,22.46,22.46,2.35,1.28,3.46,201.19,319.06,156.89,293.94,87.63,5.69,1.69,0.38,673.49,26.48,0.18,0.13
Molokhia,11.4,61.55,217.54,13.84,7.91,2.18,3.67,23.73,520.59,484.53,12.92,89.96,48.27,2.85,0.39,0.48,259.88,58.48,0.18,0.36
Sobia,3.95,46.88,448.32,6.4,16.01,1.19,7.43,64.05,480.37,143.05,192.54,85.78,58.68,1.03,0.62,0.11,182.29,40.13,0.32,0.17
Imam Bayildi,6.11,60.23,236.22,4.17,12.51,2.36,3.73,27.79,182.29,264.24,181.04,58.33,110.19,5.96,4.38,0.13,29.59,14.05,0.14,0.49
Basbousa,11.87,69.59,1423.7,19.24,46.17,0.69,6.7,211.63,484.21,449.04,192.01,198.69,109.56,1.55,0.49,0.11,273.78,51.39,0.05,0.42
Tea with Sugar,9.69,72.1,34.19,0,0,2.44,6.79,8.55,248.08,424.31,160.93,177.64,42.46,3.45,4.65,0.24,37.85,54.41,0.07,0.15
Dates,14.07,79.37,1274.1,11.3,1.81,2.16,6.63,338.86,291.77,580.67,109.81,218.92,30.66,4.53,3.45,0.22,214,1.37,0.4,0.41
Vegetable Oil,0.03,72.19,1293.21,0,146.29,1.7,0.12,0,431.75,198.34,125.62,215.38,81.43,5.9,3.27,0.29,342.34,3.55,0.49,0.23
Roasted Chicken,14.85,75.19,558.57,66.5,29.26,0.86,5.57,0,317.15,350.72,72.85,190.39,76.64,1.33,3.24,0.03,797.77,50.37,0.36,0.5
Butter,10.19,41.79,1014.48,1.27,114.61,0.89,5.3,0.14,50.42,453.38,30.51,246.71,85.33,4.19,1.97,0.38,215.57,15.34,0.04,0.15
Kofta,12.18,45.22,301.21,23.17,20.85,0.95,2.47,5.79,116.11,298.26,123.97,148.58,17.86,4.65,0.53,0.4,432.13,31.48,0.5,0.27
Karkade,3.09,79.15,139.22,0.46,0,1.24,4.42,32.48,163.89,381.43,96.69,141.44,70.58,2.22,0.23,0.41,253.48,59.78,0.15,0.08
Black Coffee,4.54,69.57,4.95,0,0,1.22,1.48,0,168.95,439.74,15.24,276.95,52.41,2.46,2.47,0.21,455.67,41.68,0.05,0.02
Pasta Cooked,4.72,72.19,293.58,10.78,1.67,2.24,0.25,57.41,357.51,408.87,177.38,248.32,60.8,1.53,1.6,0.16,551.49,57.12,0.33,0.27
Beef Liver,11.94,77.52,567.76,92.91,13.76,1.38,7.17,13.76,539.11,227.01,132.9,203.68,11.21,0.59,3.08,0.41,588.94,26.26,0.3,0.05
Sobia,4.79,40.63,286.6,4.09,10.24,1.92,4.68,40.94,22,474.15,87.14,82.78,93.99,5.67,3.89,0.22,145.25,41.26,0.5,0.43
Black Eyed Peas,7.49,46.93,327.53,17.64,3.78,2.34,5.88,55.43,549.06,536.56,107.23,95.36,44.91,4.11,0.72,0.25,766.91,57.84,0.46,0.22
Kaak,2.52,52.35,1528.11,21.83,80.04,1.06,3.34,109.15,160.77,249.71,153.19,282.89,75.49,4.82,2.99,0.41,501.95,55.5,0.5,0.06
Kaak,1.02,54.09,1620.76,23.15,84.9,1.05,1.19,115.77,228.78,156.63,117.55,190.66,119.11,2.43,1.47,0.04,381.85,38.03,0.06,0.32
Butter,5.68,77.86,3172.18,3.98,358.36,1.46,5.9,0.44,518.41,296.06,86.02,154.65,104.57,4.23,2.73,0.15,771.13,46.18,0.38,0.3
Labneh,7.08,51.35,117.64,9.8,7.84,2.28,1.89,2.94,570.8,512.21,103.36,88.02,34.9,3.36,4.08,0.08,527.46,36.82,0.27,0.23
Roasted Chicken,5.86,58.46,265.95,31.66,13.93,1.71,5.6,0,72.69,348.16,24.61,177.59,41.69,2.86,0.22,0.08,677.14,26.19,0.12,0.15
Roasted Chicken,3.68,45.6,500.48,59.58,26.22,1.84,3.91,0,256.53,478.52,87.68,117.26,31.45,2.62,2.05,0.44,354.94,35.31,0.09,0.04
Tea with Sugar,9.93,70.99,52.27,0,0,1.35,5.38,13.07,454.48,473.33,37.05,55.56,32.83,2.88,4.52,0.12,390.31,4.03,0.28,0.5
